Gene,F303_0ppm,F306_2ppm,F318_0ppm,F320_2ppm,F325_0ppm,F328_0ppm,F332_0ppm,F336_2ppm,F341_2ppm,F342_2ppm
Capza1,529,398,485,436,455,529,534,467,394,381
Capza2,3331,2462,2833,2690,2739,2711,2936,2758,2115,2011
Capza3,0,0,0,0,0,0,0,0,0,0
Capzb,2104,1532,1561,1635,1694,1430,1517,1388,978,1042
Car1,4,1,6,0,2,4,2,6,3,4
Car10,441,275,531,453,564,548,596,461,383,451
Car11,28,32,10,14,17,19,14,14,4,11
Car12,185,18,5,29,23,33,6,11,14,7
Car13,6,2,3,4,0,2,2,2,2,0
Car14,953,579,570,1932,697,504,454,324,54,89
Car15,3,0,0,0,0,0,0,0,0,0
Car2,8,3,0,4,5,4,1,1,5,0
Car3,4,5,4,12,2,3,3,7,2,1
Car4,12,12,9,8,10,9,7,1,4,4
Car5a,1,0,0,0,0,0,0,0,1,0
Car5b,3,8,6,4,1,4,2,1,2,0
Car6,0,0,0,3,0,1,0,0,1,4
Car7,1,2,1,2,1,0,5,0,6,1
Car8,439,324,565,406,504,492,606,435,355,388
Car9,1638,1300,1864,1823,2247,2144,2263,1963,1652,1572
Card10,20,21,15,17,19,21,7,6,8,7
